ResponseId,AIBen - Greater efficiency,AIBen - Improve accuracy in coding,AIBen - Improve collaboration,AIBen - Increase productivity,AIBen - Make workload more manageable,AIBen - Other (please specify):,AIBen - Speed up learning
1,False,False,False,True,False,False,False
2,False,False,False,False,False,False,False
3,False,False,False,False,False,False,False
4,True,True,True,True,False,False,True
5,False,False,False,False,False,False,False
6,True,True,False,True,False,False,False
7,False,False,False,False,False,False,False
8,False,True,False,True,False,False,True
9,False,False,False,False,False,False,False
10,False,False,False,True,False,False,True
11,False,True,False,True,False,False,True
12,False,False,False,False,False,False,False
13,False,False,False,False,False,False,False
14,True,True,True,True,True,False,True
15,False,False,False,False,False,False,False
16,False,False,False,False,False,False,False
17,True,False,False,True,False,False,False
18,False,False,False,False,False,False,False
19,True,True,False,True,True,False,False
20,False,False,False,False,False,False,False
21,True,True,False,True,True,False,False
22,True,True,False,True,False,False,False
23,False,False,False,True,False,False,True
24,False,False,False,False,False,False,False
25,False,False,False,False,False,False,False
26,False,False,False,False,False,False,False
27,True,False,False,True,False,False,True
28,True,False,False,True,False,False,True
29,False,False,False,False,False,False,False
30,True,True,False,False,True,False,True
31,False,False,False,False,True,False,True
32,False,False,False,False,False,False,False
33,False,True,False,False,False,False,False
34,False,False,False,False,False,False,False
35,True,False,False,True,False,False,False
36,False,False,False,False,False,False,False
37,False,False,False,False,False,False,False
38,False,False,False,True,False,False,False
39,False,False,False,False,False,False,False
40,False,True,False,True,False,False,True
41,True,True,False,True,True,False,True
42,True,False,False,True,False,False,True
43,True,False,False,False,True,False,True
44,False,False,False,False,False,False,False
45,False,False,False,True,False,False,False
46,False,False,False,False,False,False,True
47,True,False,False,True,False,False,False
48,False,False,False,False,False,False,False
49,False,False,False,False,False,False,False
50,True,False,False,True,True,False,False
51,True,False,False,False,False,False,True
52,True,False,False,True,False,False,True
53,True,False,False,True,False,False,False
54,False,False,False,False,False,False,False
55,False,False,False,False,False,False,False
56,False,False,False,False,False,False,False
57,False,False,False,False,False,False,False
58,False,False,False,False,False,False,False
59,True,False,False,True,True,False,False
60,False,False,False,False,False,False,False
61,True,False,False,False,False,False,False
62,False,False,False,False,False,False,False
63,True,False,False,True,False,False,True
64,False,False,False,False,False,False,False
65,False,False,False,False,False,False,False
66,False,False,False,False,False,False,False
67,True,False,False,True,False,False,True
68,True,False,False,True,True,False,True
69,True,True,False,True,False,False,True
70,False,False,False,True,False,False,True
71,False,False,False,False,False,False,False
72,False,False,False,False,False,False,False
73,True,True,True,True,True,False,True
74,False,False,False,False,False,False,False
75,False,False,False,False,False,False,False
76,False,False,False,False,False,False,False
77,False,False,False,False,False,False,False
78,True,False,False,False,True,False,True
79,False,False,False,False,False,False,False
80,True,True,False,False,False,False,True
81,False,False,False,False,False,False,False
82,True,False,False,True,False,False,False
83,False,False,False,False,False,False,False
84,False,False,False,False,False,False,False
85,False,False,False,False,False,False,False
86,False,False,False,False,False,False,False
87,False,False,False,True,False,False,True
88,False,False,False,False,False,False,False
89,False,False,False,False,False,False,False
90,False,False,False,False,False,False,False
91,False,False,False,False,False,False,False
92,True,False,False,False,False,True,False
93,True,False,False,True,False,False,False
94,False,False,False,False,False,False,False
95,False,False,False,True,False,False,False
96,True,False,False,False,False,False,True
97,True,True,False,True,True,False,False
98,False,False,False,False,False,False,False
99,True,True,False,True,True,False,True
100,False,False,False,False,False,False,False
101,False,False,False,True,True,False,True
102,True,False,False,True,False,False,True
103,True,False,False,True,False,False,False
104,False,False,False,True,False,False,False
105,False,True,False,True,False,False,False
106,False,False,False,True,True,False,False
107,False,False,False,False,False,False,False
108,False,False,False,False,False,False,True
109,False,False,False,False,False,False,False
110,True,True,False,True,True,False,True
111,False,False,False,True,True,False,True
112,False,False,False,True,False,False,True
113,False,False,False,True,True,False,True
114,False,False,False,False,False,False,False
115,False,False,False,False,False,False,False
116,True,True,False,True,False,False,True
117,False,False,False,False,False,False,False
118,True,False,False,False,True,False,False
119,False,False,False,False,True,False,True
120,False,False,False,False,False,False,False
121,False,False,False,True,False,False,True
122,False,True,False,True,False,False,True
123,False,False,False,False,False,False,False
124,False,False,False,False,False,False,False
125,True,False,False,True,False,False,False
126,True,False,False,True,False,False,False
127,True,False,False,True,True,False,True
128,False,False,False,True,False,False,False
129,True,False,False,True,False,False,False
130,False,False,False,True,False,False,False
131,False,False,False,False,False,False,False
132,True,True,True,True,True,False,True
133,False,True,False,True,False,False,True
134,False,False,False,False,False,False,False
135,False,False,False,False,False,False,False
136,True,False,False,False,False,True,False
137,False,False,False,False,False,False,False
138,False,False,False,False,False,False,False
139,False,False,False,False,False,False,False
140,False,False,False,False,False,False,False
141,False,False,False,False,False,False,False
142,False,False,False,True,False,False,False
143,True,False,False,False,False,False,False
144,False,False,False,False,False,False,False
145,False,False,False,False,False,False,False
146,False,False,False,True,False,False,True
147,False,False,False,False,False,False,False
148,False,False,False,False,False,False,False
149,False,False,False,False,False,False,False
150,True,True,False,True,True,False,True
151,False,False,False,False,False,False,False
152,False,False,False,False,False,False,False
153,False,False,False,True,False,False,False
154,False,False,False,True,False,False,True
155,False,False,False,True,False,False,True
156,True,True,False,True,False,False,True
157,False,False,False,False,False,False,True
158,True,False,False,True,False,False,True
159,True,True,False,True,False,False,False
160,False,False,False,False,False,False,True
161,False,False,False,False,False,False,False
162,False,False,False,False,False,False,False
163,True,False,False,True,False,False,False
164,False,False,False,False,False,False,False
165,False,False,False,True,False,False,False
166,False,True,False,True,False,False,True
167,True,False,False,True,False,False,False
168,True,False,False,True,True,False,False
169,True,True,False,True,False,False,True
170,False,False,False,False,False,False,False
171,False,False,False,True,False,False,True
172,False,False,False,False,False,False,False
173,False,False,False,True,False,False,True
174,True,True,True,True,True,False,True
175,False,False,False,False,False,False,False
176,False,False,False,True,False,False,False
177,False,False,False,False,False,False,False
178,False,True,False,True,False,False,False
179,True,False,False,False,False,False,True
180,False,False,False,False,False,False,False
181,True,False,False,True,True,False,True
182,False,False,False,False,False,False,False
183,True,True,False,True,False,False,True
184,False,False,False,False,False,False,False
185,True,True,False,True,True,False,True
186,False,False,False,False,False,False,False
187,False,False,False,True,False,False,True
188,True,False,False,True,True,False,True
189,False,False,False,False,False,False,False
190,False,False,False,False,False,False,False
191,False,False,False,False,False,False,False
192,False,True,False,False,False,False,True
193,False,False,False,False,False,False,False
194,True,False,False,True,False,False,True
195,False,False,False,False,False,False,False
196,False,False,False,False,False,False,False
197,True,False,False,True,False,False,False
198,False,False,False,False,False,False,False
199,True,True,False,True,False,False,False
200,False,False,False,False,False,False,False
201,True,True,False,True,False,False,False
202,True,False,False,False,False,False,True
203,False,False,False,False,False,False,True
204,False,False,False,False,False,False,False
205,True,False,False,True,False,False,False
206,False,False,False,False,False,False,False
207,False,False,False,False,False,False,False
208,False,False,False,True,False,False,False
209,False,False,False,False,False,False,False
210,True,False,False,True,True,False,True
211,False,False,False,False,False,False,False
212,False,False,False,False,False,False,False
213,True,False,False,True,False,False,True
214,True,False,False,True,False,False,False
215,False,False,False,False,False,False,False
216,False,False,False,False,False,False,True
217,False,True,False,False,False,False,True
218,False,False,False,True,True,False,False
219,False,False,False,False,False,False,False
220,False,False,False,True,True,False,True
221,False,False,False,False,False,False,False
222,False,False,False,False,False,False,False
223,False,False,False,True,False,True,False
224,True,False,False,True,False,False,True
225,False,False,False,False,False,False,False
226,False,False,False,False,False,False,False
227,False,False,False,False,False,False,False
228,True,False,False,True,False,False,True
229,True,False,False,False,False,False,False
230,False,False,False,False,False,False,False
231,False,False,False,False,False,False,False
232,False,False,False,True,False,False,False
233,False,False,False,False,False,False,False
234,False,False,False,False,False,False,False
235,False,False,False,False,False,False,False
236,False,False,False,False,False,False,False
237,True,False,False,True,True,True,True
238,False,False,False,False,False,False,False
239,True,False,False,True,False,False,False
240,False,False,False,False,False,False,False
241,False,False,False,False,False,False,False
242,False,False,False,False,False,False,False
243,True,False,False,True,True,False,False
244,True,True,False,True,True,False,False
245,True,True,False,True,False,False,False
246,False,False,False,False,False,False,False
247,False,False,False,True,False,False,False
248,False,False,False,False,False,False,False
249,True,False,False,False,False,False,False
250,False,False,False,False,False,False,False
251,False,False,False,False,False,False,False
252,False,False,False,False,False,False,False
253,False,False,False,False,False,False,False
254,False,False,False,True,False,False,True
255,False,False,False,False,False,False,False
256,False,False,False,False,False,False,False
257,False,False,False,False,False,False,False
258,False,False,False,False,False,False,False
259,False,True,False,True,True,False,True
260,False,False,False,False,False,False,False
261,False,False,False,False,False,False,False
262,True,False,False,True,False,False,False
263,True,False,False,True,False,False,True
264,False,False,False,False,False,False,False
265,False,False,False,False,False,False,False
266,False,False,False,False,False,False,False
267,True,False,False,True,False,False,True
268,False,False,False,False,False,False,False
269,False,False,False,False,False,False,False
270,False,False,False,False,False,False,False
271,False,False,False,True,True,False,False
272,False,False,False,True,False,False,True
273,False,False,False,False,False,False,False
274,False,False,False,False,False,False,False
275,True,False,True,True,False,False,False
276,True,True,False,True,True,False,True
277,True,True,False,True,False,False,True
278,True,False,False,True,False,False,True
279,False,False,False,False,False,False,False
280,False,False,False,False,False,False,False
281,True,True,False,True,False,False,True
282,False,False,False,False,False,False,False
283,False,False,False,False,False,False,False
284,False,False,False,False,False,False,False
285,False,False,False,False,False,False,False
286,False,False,True,False,False,False,False
287,False,False,False,False,False,False,False
288,False,False,False,False,False,False,False
289,False,True,False,False,False,False,False
290,False,False,False,False,False,False,False
291,False,False,False,False,False,False,False
292,False,False,False,False,False,False,False
293,False,False,False,False,False,False,False
294,False,False,False,True,False,False,True
295,False,False,False,False,False,False,False
296,False,True,False,True,True,False,False
297,False,False,False,True,False,False,False
298,True,False,False,True,False,False,True
299,True,True,True,True,True,False,True
300,False,False,False,True,True,False,True
301,False,False,False,False,False,False,False
302,False,False,False,False,False,False,False
303,True,False,False,True,True,False,True
304,True,True,False,False,False,False,True
305,False,False,False,False,False,False,False
306,False,False,False,False,False,False,False
307,False,False,False,False,False,False,False
308,False,False,False,False,False,False,False
309,True,True,False,True,False,False,True
310,False,False,False,True,False,False,True
311,False,False,False,True,False,False,False
312,True,True,False,True,True,False,True
313,False,False,False,False,False,False,False
314,True,True,False,True,False,False,False
315,True,False,False,True,False,False,True
316,False,False,False,False,False,False,False
317,False,False,False,True,False,False,False
318,True,True,False,True,True,False,True
319,True,True,False,False,False,False,True
320,True,False,False,True,False,False,False
321,False,False,False,False,False,False,False
322,False,False,False,False,False,False,False
323,False,False,False,False,False,False,False
324,True,True,False,True,False,False,False
325,False,False,False,False,False,False,False
326,False,False,False,False,False,False,False
327,False,True,False,True,False,False,False
328,False,False,False,False,False,False,False
329,True,True,False,True,False,False,True
330,False,False,False,False,False,False,False
331,False,False,False,False,False,False,False
332,True,False,False,True,False,False,True
333,False,False,False,False,False,False,False
334,False,False,False,False,False,False,False
335,True,False,False,False,True,False,False
336,False,False,False,True,False,False,True
337,True,True,False,True,True,False,False
338,True,False,False,True,False,False,False
339,False,False,False,False,False,True,False
340,False,False,False,False,False,False,False
341,True,True,False,True,True,False,True
342,False,False,False,False,False,True,False
343,False,False,False,True,False,False,True
344,False,False,False,True,False,False,True
345,False,True,False,True,False,False,True
346,False,False,False,True,False,False,True
347,True,True,False,True,False,False,True
348,False,False,False,False,False,False,False
349,False,False,False,False,False,False,False
350,False,False,False,False,False,False,False
351,False,False,False,True,False,False,False
352,True,False,True,True,True,False,True
353,False,False,False,False,False,False,False
354,False,False,False,False,False,False,True
355,True,False,False,False,False,False,True
