ResponseId,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,JobSat
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,50.0,,,25.0,10.0,,15.0,,,80.0
12,,,,,,,,,,
13,,,30.0,30.0,,,20.0,10.0,10.0,80.0
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,50.0
17,,,,,,,,,,
18,,,,,,,,,,
19,10.0,,10.0,60.0,10.0,10.0,,,,100.0
20,,,,,,,,,,
21,90.0,100.0,100.0,100.0,90.0,90.0,100.0,90.0,100.0,60.0
22,,,,,,,,,,
23,30.0,10.0,,20.0,20.0,,20.0,,,90.0
24,,,,,,,,,,
25,10.0,30.0,,,,,60.0,,,40.0
26,,,,,,,,,,
27,,10.0,10.0,25.0,20.0,10.0,5.0,10.0,10.0,70.0
28,,,,50.0,20.0,15.0,15.0,,,70.0
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,50.0,30.0,20.0,,,70.0
33,,,,,,,,,,
34,20.0,,5.0,15.0,15.0,20.0,,,25.0,60.0
35,,,,,,,,,,
36,5.0,,20.0,30.0,10.0,20.0,5.0,,10.0,70.0
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,100.0,100.0,,,100.0,,70.0
42,30.0,20.0,,10.0,,,,40.0,,70.0
43,,,,,,,,,,
44,,,,30.0,10.0,20.0,30.0,10.0,,90.0
45,10.0,,5.0,10.0,20.0,35.0,10.0,5.0,5.0,90.0
46,70.0,10.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,70.0
47,,70.0,,20.0,,,,,10.0,60.0
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,30.0
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,20.0,5.0,10.0,15.0,5.0,10.0,20.0,10.0,5.0,30.0
55,40.0,,,80.0,60.0,70.0,50.0,60.0,,70.0
56,,,,,,,,,,
57,,,,,,,,,,
58,10.0,100.0,,100.0,,,,,,60.0
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,10.0,20.0,30.0,20.0,20.0,,,70.0
63,,,,,,,,,,
64,,,,,,,,,,90.0
65,15.0,15.0,7.0,8.0,5.0,7.0,30.0,10.0,3.0,90.0
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,90.0
71,,,,,,,,,,
72,,,,,,,,,,70.0
73,90.0,10.0,75.0,65.0,100.0,100.0,100.0,50.0,90.0,100.0
74,,,,,20.0,,,,,90.0
75,,,,10.0,20.0,20.0,50.0,,,70.0
76,,,,,,,,,,
77,5.0,5.0,,30.0,10.0,15.0,25.0,,10.0,60.0
78,100.0,100.0,50.0,80.0,70.0,100.0,20.0,50.0,10.0,70.0
79,,,,,,,,,,80.0
80,40.0,35.0,,10.0,5.0,,10.0,,,80.0
81,,,,20.0,10.0,20.0,20.0,30.0,,70.0
82,,,,,,,,,,70.0
83,,10.0,,10.0,10.0,10.0,10.0,50.0,,40.0
84,,,15.0,30.0,15.0,10.0,10.0,10.0,,20.0
85,,,,,,,,,,
86,,,,,,,,,,
87,10.0,,20.0,15.0,25.0,20.0,,,10.0,80.0
