ResponseId,LearnCode - Books / Physical media,LearnCode - Coding Bootcamp,LearnCode - Colleague,LearnCode - Friend or family member,LearnCode - On the job training,LearnCode - Online Courses or Certification,LearnCode - Other (please specify):,"LearnCode - Other online resources (e.g., videos, blogs, forum, online community)","LearnCode - School (i.e., University, College, etc)"
1,True,False,False,False,False,False,False,False,False
2,True,False,True,False,True,False,False,True,False
3,True,False,True,False,True,False,False,True,True
4,False,False,False,False,False,True,False,True,True
5,False,False,False,False,False,False,False,True,False
6,False,False,False,False,False,True,False,False,True
7,False,False,False,False,False,False,False,True,False
8,False,True,False,False,False,True,False,True,False
9,True,False,False,False,False,True,False,True,False
10,False,False,False,False,True,False,False,True,True
11,True,False,False,False,False,False,False,True,True
12,True,False,False,False,False,False,False,False,True
13,True,False,False,False,True,False,False,False,True
14,False,False,True,False,False,True,False,True,False
15,True,False,False,False,False,True,False,True,False
16,True,False,False,False,True,True,False,True,False
17,True,False,False,True,False,False,False,True,False
18,False,False,False,False,False,True,False,True,False
19,True,False,False,True,True,True,False,True,True
20,True,False,False,False,False,False,True,True,False
21,False,True,False,False,False,True,False,True,False
22,True,False,True,False,True,False,False,True,True
23,False,False,False,False,True,False,False,True,False
24,False,False,False,False,False,False,False,True,True
25,True,False,True,False,False,True,False,True,False
26,True,False,True,True,True,True,False,True,True
27,True,False,True,False,True,True,False,False,False
28,True,False,False,False,True,False,False,False,False
29,False,False,False,False,True,False,False,True,False
30,False,False,True,True,False,True,False,True,False
31,True,False,False,False,False,True,False,False,True
32,False,False,True,False,True,True,False,False,True
33,False,False,False,False,False,True,False,True,True
34,True,False,False,False,True,True,False,True,True
35,False,False,False,False,True,False,False,True,False
36,True,False,False,False,True,True,False,True,True
37,False,False,False,False,False,False,False,False,True
38,False,False,False,False,True,True,False,False,False
39,False,True,False,False,False,False,False,False,False
40,True,False,False,True,False,True,False,True,False
41,False,False,True,False,False,False,False,True,True
42,True,False,False,False,False,True,False,True,False
43,False,False,False,False,False,False,False,True,False
44,True,False,False,False,False,False,False,False,True
45,False,False,False,False,False,True,False,True,True
46,True,True,True,False,True,True,False,True,False
47,True,False,True,False,True,False,False,True,True
48,True,False,True,False,True,True,False,True,False
49,True,False,False,False,False,True,False,True,False
50,True,False,False,False,True,True,False,True,False
51,False,False,False,False,False,False,False,True,True
52,False,False,False,True,False,False,False,True,False
53,False,False,True,False,False,False,True,True,False
54,True,False,False,False,False,False,False,False,False
55,False,False,False,False,False,False,True,True,False
56,True,False,False,False,False,True,False,True,False
57,True,False,False,False,False,False,False,True,False
58,True,False,False,False,True,True,False,True,False
59,False,False,False,False,False,True,False,True,True
60,False,False,False,False,True,False,False,True,True
61,True,False,False,False,False,False,False,False,False
62,True,False,True,False,True,True,False,True,False
63,False,True,False,False,False,False,False,True,True
64,True,False,False,False,True,True,False,True,False
65,True,False,False,True,False,False,False,False,False
66,False,False,True,False,False,True,False,True,False
67,False,False,False,False,False,False,False,True,True
68,False,False,False,False,False,False,False,False,False
69,True,True,False,False,True,True,False,True,True
70,False,False,False,False,True,True,False,False,False
71,True,False,False,False,False,False,False,True,False
72,True,False,True,False,True,True,False,True,False
73,False,False,False,False,True,False,False,True,True
74,False,False,False,False,False,True,False,True,False
75,True,False,True,True,True,True,False,True,False
76,False,True,False,False,False,True,False,False,False
77,False,False,False,False,True,True,False,True,False
78,False,False,False,False,False,False,False,True,True
79,True,False,False,False,True,True,False,True,True
80,True,False,True,False,False,False,False,True,False
81,False,False,False,False,False,False,False,True,False
82,True,True,False,False,True,True,False,True,True
83,True,False,False,False,False,True,False,True,True
84,False,False,False,False,True,False,False,True,False
85,True,False,True,False,False,False,False,True,True
86,True,False,False,False,False,False,False,True,False
87,True,False,False,False,True,False,True,False,False
88,True,False,False,False,False,False,False,True,True
89,True,False,False,False,False,False,False,True,False
90,False,False,False,False,False,True,False,False,True
91,False,False,False,False,False,False,False,False,False
92,False,False,False,False,False,False,False,True,True
93,False,False,False,False,False,True,False,True,False
94,True,False,True,False,True,True,False,True,True
95,False,False,False,False,False,False,False,True,False
96,True,True,True,True,True,True,False,True,False
97,False,False,False,False,False,False,False,False,True
98,False,False,False,False,True,False,False,False,True
99,False,False,True,False,True,True,False,True,False
100,False,True,False,True,False,True,False,True,True
101,False,False,False,False,True,True,False,True,True
102,False,False,False,False,False,True,False,True,True
103,False,False,False,False,False,False,False,False,True
104,True,False,False,False,False,True,False,True,True
105,False,False,True,False,True,True,False,True,False
106,False,False,False,False,False,False,False,True,False
107,True,False,False,True,False,True,False,True,False
108,True,False,False,False,True,False,False,True,True
109,False,False,False,False,True,True,False,True,False
110,True,False,True,True,False,True,True,True,True
111,True,False,False,False,False,True,False,True,True
112,False,False,False,False,False,True,False,True,True
113,True,False,False,False,True,False,False,True,False
114,True,False,False,True,False,False,False,True,True
115,False,False,False,False,False,False,False,True,False
116,False,False,False,True,True,False,False,True,False
117,True,False,False,False,True,False,False,False,True
118,False,False,False,False,False,False,False,True,False
119,True,False,True,False,True,False,False,True,True
120,False,False,False,False,False,False,True,False,False
121,False,False,False,False,False,True,False,True,False
122,True,False,False,False,False,True,False,True,False
123,True,False,False,False,False,False,False,True,True
124,True,False,False,False,True,True,False,True,True
125,False,False,False,False,True,True,False,True,True
126,False,False,False,False,True,False,False,True,True
127,True,False,False,False,False,True,False,True,True
128,True,False,False,False,False,False,False,False,False
129,True,False,False,False,True,True,False,True,False
130,True,False,False,False,False,False,False,True,False
131,True,False,False,False,False,False,False,True,True
132,False,False,False,False,True,True,False,True,False
133,False,False,True,True,False,True,False,True,True
134,False,False,False,False,False,False,True,False,False
135,False,False,True,False,False,False,False,True,False
136,False,False,False,False,False,False,False,True,True
137,False,False,False,False,False,False,True,False,False
138,False,False,False,False,True,True,False,False,True
139,False,False,False,False,False,False,True,True,False
140,False,False,False,False,True,True,False,True,False
141,True,False,False,False,True,True,False,True,True
142,False,False,True,False,False,True,False,False,True
143,True,True,False,False,True,True,False,True,True
144,False,False,False,False,False,False,False,True,True
145,True,False,True,False,True,True,False,True,True
146,True,False,False,False,False,True,False,True,True
147,True,False,False,False,True,False,False,True,True
148,False,False,False,False,True,True,False,True,True
149,True,False,False,False,False,False,False,True,True
150,True,False,False,False,True,True,False,True,False
151,False,False,False,False,False,False,True,False,False
152,False,False,False,False,False,True,False,True,True
153,False,True,False,False,False,False,False,False,False
154,True,False,False,False,True,True,False,True,True
155,True,False,True,True,True,True,False,True,True
156,True,False,True,True,True,True,False,True,True
157,False,False,False,False,False,False,True,True,False
158,True,False,True,True,True,True,False,True,True
159,True,True,False,False,True,True,False,True,False
160,True,False,False,False,False,False,True,True,False
161,False,False,False,False,True,True,False,True,True
162,False,False,True,False,True,True,False,True,False
163,True,False,False,False,True,False,False,True,True
164,False,False,False,False,True,False,False,True,True
165,False,False,False,False,False,False,False,True,False
166,False,False,False,False,False,False,False,False,True
167,True,False,True,False,True,True,False,True,True
168,False,False,False,False,False,False,False,True,False
169,False,False,False,False,True,False,False,True,True
170,True,False,False,False,False,False,False,True,False
171,False,False,False,False,False,False,True,True,False
172,True,True,True,False,True,True,False,True,False
173,False,False,False,False,False,False,False,True,True
174,False,False,True,False,True,True,False,True,False
175,True,False,False,False,False,True,False,True,True
176,True,False,True,False,True,True,False,True,True
177,True,False,False,False,True,False,False,True,True
178,True,False,False,False,True,True,False,True,True
179,True,False,True,False,True,False,False,True,False
180,True,False,False,True,False,False,False,True,False
181,False,False,False,False,False,False,False,True,True
182,True,False,True,True,True,False,False,True,False
183,False,False,False,False,True,True,False,True,True
184,True,False,False,False,False,True,False,True,True
185,False,False,False,False,False,False,False,True,False
186,False,False,False,False,True,False,False,False,True
187,True,False,False,True,True,True,False,True,False
188,True,False,True,False,True,True,False,True,False
189,True,True,True,False,True,True,False,True,False
190,True,False,False,False,False,True,True,True,False
191,True,False,False,False,False,False,False,False,True
192,True,False,True,False,False,True,False,True,True
193,True,False,False,False,True,False,False,True,True
194,True,False,False,False,True,True,False,True,True
195,False,True,True,False,True,True,False,True,True
196,False,False,True,False,False,True,False,True,True
197,False,False,False,True,False,False,True,False,True
198,True,False,False,False,False,False,False,True,False
199,False,False,False,False,False,False,False,True,True
200,True,False,False,False,False,False,False,False,False
201,False,False,False,False,False,True,False,False,True
202,False,False,False,True,True,True,False,True,True
203,False,False,False,False,True,False,False,True,True
204,False,False,False,False,False,True,False,True,True
205,False,False,False,False,True,True,False,True,False
206,False,False,False,False,True,False,True,False,False
207,False,False,False,False,True,False,False,True,False
208,True,False,False,False,False,False,False,True,False
209,True,False,False,False,False,False,False,True,True
210,True,False,True,False,True,True,False,True,True
211,False,False,False,False,True,True,False,True,False
212,True,False,True,False,True,False,False,True,False
213,True,False,True,False,True,True,False,True,True
214,True,False,False,False,True,False,False,True,False
215,False,False,False,False,True,False,False,False,True
216,True,False,False,False,True,False,False,True,True
217,False,False,False,False,False,False,False,True,False
218,True,False,False,False,False,False,False,True,False
219,False,False,False,False,False,False,False,True,True
220,True,False,False,False,False,True,False,True,False
221,True,False,False,False,False,True,False,True,True
222,True,False,False,False,True,True,False,True,True
223,True,False,True,False,False,False,False,True,False
224,False,False,False,False,False,True,False,False,True
225,True,False,True,False,True,False,False,True,True
226,False,False,False,False,False,False,False,True,False
227,False,False,False,False,True,False,True,False,False
228,False,False,False,False,True,False,False,True,True
229,True,False,False,True,True,False,False,True,True
230,True,False,False,False,True,True,False,True,True
231,True,False,False,False,False,True,False,True,True
232,True,False,False,False,False,True,False,True,False
233,True,False,False,False,False,False,False,True,False
234,True,False,False,False,False,True,False,True,False
235,True,False,False,False,False,True,False,True,False
236,True,False,True,False,False,False,False,True,True
237,True,False,False,False,False,True,False,True,False
238,False,False,False,False,False,True,False,True,False
239,True,False,False,False,True,False,False,False,True
240,False,True,False,False,False,False,False,False,False
241,False,False,False,False,False,True,False,True,False
242,True,False,False,False,False,False,True,True,True
243,False,False,True,False,True,True,False,True,True
244,True,True,False,False,False,True,False,True,False
245,False,False,True,False,True,True,False,True,True
246,True,False,True,False,False,False,False,True,False
247,False,False,False,False,False,False,False,True,True
248,True,False,False,False,True,False,False,True,False
249,False,False,False,False,True,True,False,True,False
250,False,False,False,False,False,False,False,True,True
251,False,False,False,False,True,False,False,True,False
252,True,False,False,True,True,False,False,False,True
253,True,False,True,False,True,False,False,True,False
254,True,False,False,False,True,True,False,False,True
255,False,False,True,False,False,False,False,True,True
256,True,False,True,False,True,True,False,True,False
257,False,False,False,False,False,True,False,True,True
258,False,False,False,False,False,False,True,False,False
259,True,False,False,False,False,True,False,True,False
260,False,False,False,False,False,False,True,False,False
261,True,False,False,False,False,True,False,True,False
262,False,True,False,False,False,True,False,True,False
263,True,True,False,False,False,True,False,True,False
264,True,False,True,False,True,False,False,True,True
265,True,False,False,False,False,False,False,True,False
266,False,False,False,False,False,True,False,False,True
267,False,False,True,False,False,True,False,True,False
268,False,False,False,False,False,False,False,False,False
269,False,False,False,False,True,False,False,True,True
270,True,False,False,False,True,False,False,True,False
271,True,True,True,False,False,True,False,True,True
272,True,True,False,False,False,True,False,True,False
273,False,False,False,True,True,False,False,True,True
274,True,False,False,False,True,False,False,False,True
275,False,False,False,True,False,False,False,True,False
276,False,False,False,False,False,False,False,False,True
277,True,False,False,False,False,True,False,True,True
278,True,False,False,False,False,True,False,True,False
279,True,False,False,False,True,True,False,True,False
280,True,False,True,False,True,True,False,True,False
281,True,False,True,False,True,True,False,True,True
282,False,False,False,False,True,False,False,True,False
283,False,False,False,False,True,False,False,True,True
